multiverse_id,mtgo_id,set,collector_number,lang,rarity,name,mana_cost,cmc,type_line,artist,usd_price,usd_foil_price,eur_price,tix_price,image_uri,scryfall_uri,scryfall_id
625077,114455,CMM,712,en,R,Abstruse Archaic,{4},4.0,Creature — Avatar,Hristo D. Chukov,2.72,,1.16,2.18,https://cards.scryfall.io/large/front/1/f/1fc2871b-c685-4951-b8e2-7370b9668f7e.jpg?1783915488,https://scryfall.com/card/cmm/712/abstruse-archaic,1fc2871b-c685-4951-b8e2-7370b9668f7e
,144566,TLA,44,en,U,Accumulate Wisdom,{1}{U},2.0,Instant — Lesson,Gemi,0.31,0.43,0.48,0.3,https://cards.scryfall.io/large/front/a/6/a6335319-6c92-40d4-ab2d-c06c79049c30.jpg?1783904991,https://scryfall.com/card/tla/44/accumulate-wisdom,a6335319-6c92-40d4-ab2d-c06c79049c30
513654,88831,STX,162,en,U,Aether Helix,{3}{G}{U},5.0,Sorcery,Torstein Nordstrand,0.17,0.1,0.12,0.03,https://cards.scryfall.io/large/front/7/d/7d1c653e-f629-4105-a52c-379c5cd78208.jpg?1783927325,https://scryfall.com/card/stx/162/aether-helix,7d1c653e-f629-4105-a52c-379c5cd78208
191577,35633,WWK,121,en,R,Amulet of Vigor,{1},1.0,Artifact,Warren Mahy,52.94,69.39,36.74,0.48,https://cards.scryfall.io/large/front/9/9/997bc933-ac30-477b-a4e1-5333b796a99d.jpg?1783942040,https://scryfall.com/card/wwk/121/amulet-of-vigor,997bc933-ac30-477b-a4e1-5333b796a99d
141929,29307,SHM,1,en,C,Apothecary Initiate,{W},1.0,Creature — Kithkin Cleric,Kev Walker,0.16,0.4,0.09,0.03,https://cards.scryfall.io/large/front/9/b/9b6ae637-bdb7-4117-8539-e424159bad6f.jpg?1783942770,https://scryfall.com/card/shm/1/apothecary-initiate,9b6ae637-bdb7-4117-8539-e424159bad6f
489442,,JMP,459,en,U,Arcane Encyclopedia,{3},3.0,Artifact — Book,Nic Klein,0.18,,0.21,,https://cards.scryfall.io/large/front/4/1/416a2796-08c7-4370-8bc5-2152877e9034.jpg?1783930342,https://scryfall.com/card/jmp/459/arcane-encyclopedia,416a2796-08c7-4370-8bc5-2152877e9034
,148725,SOC,127,en,U,Arcane Signet,{2},2.0,Artifact,Joe Slucher,0.59,,0.58,0.04,https://cards.scryfall.io/large/front/7/8/7811dd72-61b9-4067-ac20-cea153e625d2.jpg?1783903817,https://scryfall.com/card/soc/127/arcane-signet,7811dd72-61b9-4067-ac20-cea153e625d2
,,10E,188★,en,U,Arcane Teachings,{2}{R},3.0,Enchantment — Aura,Dan Dos Santos,,5.9,,,https://cards.scryfall.io/large/front/c/3/c3a0942b-3a63-43e8-806e-2471fdebf72e.jpg?1783943024,https://scryfall.com/card/10e/188%E2%98%85/arcane-teachings,c3a0942b-3a63-43e8-806e-2471fdebf72e
13157,15358,7ED,61,en,R,Archivist,{2}{U}{U},4.0,Creature — Human Wizard,Donato Giancola,0.81,,0.38,0.02,https://cards.scryfall.io/large/front/8/e/8e44374d-b327-4193-ad3b-628191461d05.jpg?1783945555,https://scryfall.com/card/7ed/61/archivist,8e44374d-b327-4193-ad3b-628191461d05
562887,99996,CLB,4,en,R,Archivist of Oghma,{1}{W},2.0,Creature — Halfling Cleric,Stella Spente,7.05,8.18,7.11,11.72,https://cards.scryfall.io/large/front/f/6/f6589e02-8c84-4069-88d1-ebcc8520cae1.jpg?1783922823,https://scryfall.com/card/clb/4/archivist-of-oghma,f6589e02-8c84-4069-88d1-ebcc8520cae1
679107,133628,FDN,30,en,R,Archmage of Runes,{3}{U}{U},5.0,Creature — Giant Wizard,Kai Carpenter,3.37,4.1,4.07,0.02,https://cards.scryfall.io/large/front/3/3/334b5018-2da9-49f1-9d09-83d312ecfb02.jpg?1783909121,https://scryfall.com/card/fdn/30/archmage-of-runes,334b5018-2da9-49f1-9d09-83d312ecfb02
